seed_index,condition,queries,answer_accuracy,recall_at_5,mrr,citation_correctness,citation_faithfulness,conflict_f1,avg_tokens_used,avg_raw_private_bytes_moved,avg_edge_to_central_bytes,avg_latency_units,avg_tool_calls
0,centralized_rag,120,0.7833333333333333,1.0,0.8875,0.7833333333333333,0.7833333333333333,0.0,217.2,319.64166666666665,319.64166666666665,6.0,1.0
0,long_context_rag,120,0.725,1.0,0.8875,0.725,0.175,0.0,508.96666666666664,707.6,1814.65,13.0,1.0
0,edge_only_rag,120,0.7916666666666666,1.0,0.8930555555555556,0.7916666666666666,0.7916666666666666,0.23762376237623764,200.86666666666667,0.0,0.0,6.0,1.0
0,edge_cloud_faithful_rag,120,0.7916666666666666,1.0,1.0,0.7916666666666666,0.7916666666666666,0.2692307692307693,85.93333333333334,0.0,36.69166666666667,12.0,4.0
0,edge_cloud_no_conflict_detection,120,0.7916666666666666,1.0,1.0,0.7916666666666666,0.7916666666666666,0.0,85.93333333333334,0.0,36.69166666666667,11.0,3.0
0,edge_cloud_no_context_budget,120,0.8416666666666667,1.0,1.0,0.8416666666666667,0.8416666666666667,0.3177570093457944,338.3333333333333,0.0,232.13333333333333,11.0,3.0
1,centralized_rag,120,0.8333333333333334,1.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.0,212.59166666666667,249.575,249.575,6.0,1.0
1,long_context_rag,120,0.825,1.0,0.9166666666666666,0.825,0.275,0.0,499.05,580.2083333333334,1793.7,13.0,1.0
1,edge_only_rag,120,0.8666666666666667,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.33333333333333337,198.76666666666668,0.0,0.0,6.0,1.0
1,edge_cloud_faithful_rag,120,0.8666666666666667,1.0,1.0,0.8666666666666667,0.8666666666666667,0.21978021978021975,85.48333333333333,0.0,28.541666666666668,12.0,4.0
1,edge_cloud_no_conflict_detection,120,0.8666666666666667,1.0,1.0,0.8666666666666667,0.8666666666666667,0.0,85.48333333333333,0.0,28.541666666666668,11.0,3.0
1,edge_cloud_no_context_budget,120,0.8833333333333333,1.0,1.0,0.8833333333333333,0.8833333333333333,0.23913043478260868,329.6333333333333,0.0,192.80833333333334,11.0,3.0
2,centralized_rag,120,0.8166666666666667,1.0,0.9027777777777778,0.8166666666666667,0.8166666666666667,0.0,218.86666666666667,255.88333333333333,255.88333333333333,6.0,1.0
2,long_context_rag,120,0.8083333333333333,1.0,0.9027777777777778,0.8083333333333333,0.2,0.0,509.14166666666665,537.8166666666667,1796.4416666666666,13.0,1.0
2,edge_only_rag,120,0.8333333333333334,1.0,0.9125,0.8333333333333334,0.8333333333333334,0.22000000000000003,205.66666666666666,0.0,0.0,6.0,1.0
2,edge_cloud_faithful_rag,120,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,0.14583333333333331,84.875,0.0,31.191666666666666,12.0,4.0
